Nom,Fermetrue,Ouverture,latitude,longitude,Nom de référence
Abbesses,,1/30/1913 0:00:00,48.88441765,2.338712812,Abbesses
Alésia,,10/30/1909 0:00:00,48.82839851,2.326745674,Alésia
Bagnolet,13 septembre 1970,1/31/1903 0:00:00,48.85617445,2.394989816,Alexandre Dumas
Alexandre Dumas,,13 septembre 1970,48.85617445,2.394989816,Alexandre Dumas
Alma - Marceau,,5/27/1923 0:00:00,48.864904,2.300234,Alma - Marceau
Anatole France,,9/24/1937 0:00:00,48.892022,2.285536,Anatole France
Anvers,,10/7/1902 0:00:00,48.88300713,2.344848812,Anvers
Obligado,25 mai 1948,9/1/1900 0:00:00,48.87553309,2.289321664,Argentine
Argentine,,25 mai 1948,48.87553309,2.289321664,Argentine
Arsenal,9/2/1939 0:00:00,12/17/1906 0:00:00,48.849042,2.366642,Arsenal
Arts et Métiers,,10/19/1904 0:00:00,48.8655,2.3561,Arts et Métiers
Chambre des Députés,30 juin 1989,11/5/1910 0:00:00,48.86065457,2.321130037,Assemblée nationale
Assemblée nationale,,30 juin 1989,48.86065457,2.321130037,Assemblée nationale
Aubervilliers - Pantin - Quatre Chemins,,10/4/1979 0:00:00,48.90389694,2.392495573,Aubervilliers - Pantin - Quatre Chemins
Commerce,1er mars 1937,7/13/1913 0:00:00,48.84697701,2.294511795,Avenue Émile-Zola
Avenue Émile-Zola,,1er mars 1937,48.84697701,2.294511795,Avenue Émile-Zola
Avron,,4/2/1903 0:00:00,48.85194019,2.397862673,Avron
Balard,,7/27/1937 0:00:00,48.83627546,2.278218327,Balard
Boulevard Barbès,15 octobre 1907,1/31/1903 0:00:00,48.88364,2.350516,Barbès - Rochechouart
Barbès - Rochechouart,,15 octobre 1907,48.88364,2.350516,Barbès - Rochechouart
Saint-Denis - Basilique,25 mai 1998,6/20/1976 0:00:00,48.93809957,2.360845506,Basilique de Saint-Denis
Basilique de Saint-Denis,,25 mai 1998,48.93809957,2.360845506,Basilique de Saint-Denis
Bastille,,7/19/1900 0:00:00,48.853082,2.369077,Bastille
Bel-Air,,3/1/1909 0:00:00,48.8413443,2.400912344,Bel-Air
Belleville,,1/31/1903 0:00:00,48.87208261,2.376946807,Belleville
Bérault,,3/24/1934 0:00:00,48.84533424,2.429238498,Bérault
Bercy,,3/1/1909 0:00:00,48.84042809,2.379582969,Bercy
Bibliothèque François-Mitterrand,,10/15/1998 0:00:00,48.82960597,2.376092612,Bibliothèque François-Mitterrand
Billancourt,,2/3/1934 0:00:00,48.83208981,2.238177359,Billancourt
Grenelle,18 juin 1949,04/24/1906 0:00:00,48.853917,2.289332,Bir-Hakeim
Bir-Hakeim,,18 juin 1949,48.853917,2.289332,Bir-Hakeim
Blanche,,10/21/1902 0:00:00,48.883459,2.333703,Blanche
Bobigny - Pablo Picasso,,4/25/1985 0:00:00,48.906538,2.449994,Bobigny - Pablo Picasso
Bobigny - Pantin - Raymond Queneau,,4/25/1985 0:00:00,48.89540875,2.424928844,Bobigny - Pantin - Raymond Queneau
