,Fermetrue,Ouverture,latitude,longitude
Abbesses,,1913-01-30 00:00:00,48.8844176451841,2.33871281165883
Alexandre Dumas,,1903-01-31 00:00:00,48.8561744489676,2.3949898158233
Alma - Marceau,,1923-05-27 00:00:00,48.864903999999996,2.300234
Alésia,,1909-10-30 00:00:00,48.828398514348,2.3267456737192402
Anatole France,,1937-09-24 00:00:00,48.892022,2.285536
Anvers,,1902-10-07 00:00:00,48.88300712638608,2.3448488116264343
Argentine,,1900-09-01 00:00:00,48.875533092935,2.2893216639617
Arsenal,1939-09-02 00:00:00,1906-12-17 00:00:00,48.849042,2.3666419999999997
Arts et Métiers,,1904-10-19 00:00:00,48.8655,2.3561
Assemblée nationale,,1910-11-05 00:00:00,48.86065456952333,2.3211300373077397
Aubervilliers - Pantin - Quatre Chemins,,1979-10-04 00:00:00,48.90389694033926,2.3924955725669856
Avenue Émile-Zola,,1913-07-13 00:00:00,48.846977009491965,2.2945117950439453
Avron,,1903-04-02 00:00:00,48.8519401896706,2.397862672805786
Balard,,1937-07-27 00:00:00,48.836275463497294,2.2782183270008196
Barbès - Rochechouart,,1903-01-31 00:00:00,48.88364,2.350516
Basilique de Saint-Denis,,1976-06-20 00:00:00,48.9380995659895,2.3608455061912537
Bastille,,1900-07-19 00:00:00,48.853082,2.369077
Bel-Air,,1909-03-01 00:00:00,48.841344298392926,2.4009123444557194
Belleville,,1903-01-31 00:00:00,48.872082613623235,2.3769468069076543
Bercy,,1909-03-01 00:00:00,48.8404280893475,2.37958296880394
Bibliothèque François-Mitterrand,,1998-10-15 00:00:00,48.8296059726948,2.3760926116912997
Billancourt,,1934-02-03 00:00:00,48.8320898139467,2.2381773591041565
Bir-Hakeim,,1907-10-17 00:00:00,48.853916999999996,2.289332
Blanche,,1902-10-21 00:00:00,48.883459,2.333703
Bobigny - Pablo Picasso,,1985-04-25 00:00:00,48.906538,2.449994
Bobigny - Pantin - Raymond Queneau,,1985-04-25 00:00:00,48.8954087508734,2.4249288439750667
Boissière,,1900-10-02 00:00:00,48.86738608631612,2.2903919219970703
Bolivar,,1911-01-18 00:00:00,48.880502443263104,2.3749217391014104
Bonne-Nouvelle,,1931-05-05 00:00:00,48.87063947521573,2.348874807357788
Botzaris,,1911-01-18 00:00:00,48.879551689151285,2.388040423393249
Boucicaut,,1937-07-27 00:00:00,48.841101,2.287817
Boulogne - Jean Jaurès,,1980-10-03 00:00:00,48.842278126020744,2.2388774156570435
Boulogne - Pont de Saint-Cloud,,1981-10-02 00:00:00,48.840684,2.2283310000000003
Bourse,,1904-10-19 00:00:00,48.86873757398422,2.3413699865341187
Brochant,,1912-01-20 00:00:00,48.890855496964654,2.319700419902801
Bréguet - Sabin,,1906-12-31 00:00:00,,
Buttes Chaumont,,1912-02-13 00:00:00,48.878500370428995,2.3817721009254456
Buzenval,,1933-12-10 00:00:00,48.851976,2.402045
Bérault,,1934-03-24 00:00:00,,
Cadet,,1910-11-05 00:00:00,48.876134822511595,2.3448756337165837
Cambronne,,1907-10-17 00:00:00,48.847536539115836,2.3029366135597233
Campo-Formio,,1906-06-06 00:00:00,48.83502241002785,2.3581284284591675
Cardinal Lemoine,,1931-04-26 00:00:00,48.84713939728228,2.351202964782715
Carrefour Pleyel,,1952-06-30 00:00:00,48.91994192110376,2.3439261317253117
Censier - Daubenton,,1930-02-15 00:00:00,48.840596999999995,2.3517740000000003
Champs de Mars,1939-09-02 00:00:00,1913-07-13 00:00:00,,
Champs-Élysées - Clemenceau,,1900-07-19 00:00:00,48.8674114214171,2.3139594500990897
Chardon-Lagache,,1913-09-30 00:00:00,48.8451377544999,2.2662144899368286
Charenton - Écoles,,1942-10-05 00:00:00,48.82148972262477,2.4138620495796204
Charles Michels,,1913-07-13 00:00:00,48.846591,2.286942
Charles de Gaulle - Étoile,,1900-09-01 00:00:00,48.87440760366071,2.29576268465124
Charonne,,1933-12-10 00:00:00,48.85510281313548,2.3846393823623657
Chaussée d'Antin - La Fayette,,1910-11-05 00:00:00,48.873072321402,2.333932220935821
Chemin Vert,,1931-05-05 00:00:00,48.85677758136463,2.368347644805908
Chevaleret,,1909-03-01 00:00:00,48.83493766552989,2.3680821061134343
Château Rouge,,1908-04-21 00:00:00,48.88673,2.349552
Château d'Eau,,1908-04-21 00:00:00,48.872901196858045,2.3561489582061768
Château de Vincennes,,1934-03-24 00:00:00,,
Château-Landon,,1910-11-05 00:00:00,48.8784562710064,2.36207127571106
Châtelet,,1900-08-06 00:00:00,48.8585195224421,2.34711940104793
Châtillon - Montrouge,,1976-11-09 00:00:00,48.81053941501507,2.3018261790275574
Cité,,1910-12-10 00:00:00,48.85510058578879,2.3467203742446
Cluny - La Sorbonne,,1930-02-15 00:00:00,48.8510502823143,2.3442733454213514
Colonel Fabien,,1903-01-31 00:00:00,48.877136,2.3711599999999997
Commerce,,1937-07-27 00:00:00,48.845093,2.2942150000000003
Concorde,,1900-08-13 00:00:00,48.866176,2.322397
Convention,,1910-11-05 00:00:00,48.837419,2.296795
Corentin Cariou,,1910-11-05 00:00:00,48.894729999999996,2.382307
Corentin Celton,,1934-03-24 00:00:00,48.826833,2.278985
Corvisart,,1907-10-17 00:00:00,48.82980682532293,2.3505082726478577
Cour Saint-Émilion,,1998-10-15 00:00:00,48.8333385593,2.38663240207
Courcelles,,1902-10-07 00:00:00,48.879401,2.304339
Couronnes,,1903-01-31 00:00:00,48.869521,2.379861
Crimée,,1910-11-05 00:00:00,48.891420000000004,2.377377
Croix de Chavaux,,1937-10-14 00:00:00,48.858055,2.435764
Croix-Rouge,1939-09-02 00:00:00,1923-12-30 00:00:00,48.85189430192224,2.329503893852234
Créteil - L'Échat,,1973-09-24 00:00:00,48.79596296515139,2.449355721473694
Créteil - Préfecture,,1974-09-10 00:00:00,48.779772152794955,2.459317445755005
Créteil - Université,,1974-09-10 00:00:00,48.789753747034204,2.450785338878632
Danube,,1911-01-18 00:00:00,48.88180771631629,2.3942014575004578
Daumesnil,,1909-03-01 00:00:00,48.83964429905365,2.395792007446289
Denfert-Rochereau,,1907-10-17 00:00:00,48.83390129934429,2.3327279090881348
Dugommier,,1909-03-01 00:00:00,48.839049373921746,2.3899635672569275
Dupleix,,1907-10-17 00:00:00,48.85039233740468,2.2936105728149414
Duroc,,1923-12-30 00:00:00,48.84682874191918,2.3164790868759155
Edgar Quinet,,1907-10-17 00:00:00,48.841047729454424,2.325083613395691
Esplanade de La Défense,,1992-04-01 00:00:00,,
Europe,,1904-10-19 00:00:00,48.878821,2.32238
Exelmans,,1922-11-08 00:00:00,48.84240522408707,2.259549200534821
Faidherbe - Chaligny,,1931-05-05 00:00:00,48.850157596223276,2.3833975195884705
Falguière,,1910-11-05 00:00:00,48.84449,2.3179540000000003
Filles du Calvaire,,1931-05-05 00:00:00,48.86407249343042,2.366121411323548
Fort d'Aubervilliers,,1979-10-04 00:00:00,48.91423986217218,2.403784990310669
Franklin D. Roosevelt,,1900-07-19 00:00:00,48.8693052286485,2.30830876451203
Front Populaire,,2012-12-18 00:00:00,48.9068910901493,2.36579376393314
Félix Faure,,1937-07-27 00:00:00,48.842351,2.291004
Gabriel Péri,,1980-05-03 00:00:00,48.91657540550505,2.2943884134292603
Gallieni,,1971-04-02 00:00:00,48.864936,2.4166369999999997
Gambetta,,1905-01-25 00:00:00,48.864946999999994,2.3984509999999997
Gare d'Austerlitz,,1906-06-02 00:00:00,48.84262587968618,2.3649707436561584
Gare de Lyon,,1900-07-19 00:00:00,48.844704545065795,2.37406590751466
Gare de l'Est,,1907-11-15 00:00:00,48.87614187874927,2.358278632164001
Gare du Nord,,1907-11-15 00:00:00,48.88057476333715,2.3549312353134155
Garibaldi,,1952-06-30 00:00:00,48.90639692572083,2.3319071531295776
Gaîté,,1937-01-21 00:00:00,48.83865393016213,2.322637438774109
George V,,1900-08-13 00:00:00,48.871982573169404,2.3004626834334303
Glacière,,1907-10-17 00:00:00,48.83115049943604,2.3433843255043034
Goncourt,,1935-04-28 00:00:00,48.86983144066792,2.3706865310668945
Grands Boulevards,,1931-05-05 00:00:00,48.87142632601177,2.34434187412262
Guy Môquet,,1911-02-26 00:00:00,48.892221,2.3271740000000003
Havre - Caumartin,,1904-10-19 00:00:00,,
Hoche,,1942-10-12 00:00:00,48.89149389450552,2.4031439423561096
Hôtel de Ville,,1900-07-19 00:00:00,48.8567695272423,2.35149453979435
Invalides,,1913-12-24 00:00:00,48.860907,2.314457
Iéna,,1923-05-27 00:00:00,48.86446597201022,2.2933799028396606
Jacques Bonsergent,,1906-12-17 00:00:00,48.87120050462785,2.360606789588928
Jasmin,,1922-11-08 00:00:00,48.85189783175056,2.2678560018539433
Jaurès,,1903-02-23 00:00:00,48.88179007771832,2.370198369026184
Javel - André Citroën,,1913-09-30 00:00:00,48.84616506264145,2.2787162661552434
Jourdain,,1935-04-28 00:00:00,48.875199862215254,2.389507591724396
Jules Joffrin,,1912-10-31 00:00:00,48.89243736765836,2.344781756401062
Jussieu,,1931-04-26 00:00:00,48.846052,2.355738
Kléber,,1900-10-02 00:00:00,48.871138,2.293118
La Chapelle ,,1903-01-31 00:00:00,,
La Courneuve - 8 Mai 1945,,1987-05-06 00:00:00,48.920777,2.410668
La Défense,,1992-04-01 00:00:00,,
La Fourche,,1911-02-26 00:00:00,48.8869,2.325875
La Motte-Picquet - Grenelle,,1907-10-17 00:00:00,48.84914272506833,2.298089861869812
La Muette,,1922-11-08 00:00:00,48.85771818004514,2.273719310760498
La Tour-Maubourg,,1913-07-13 00:00:00,48.857667003460904,2.3103985190391545
Lamarck - Caulaincourt,,1912-10-31 00:00:00,48.889849,2.338693
Laumière,,1942-10-12 00:00:00,,
Le Kremlin-Bicêtre,,1982-12-10 00:00:00,48.810388,2.3618490000000003
Le Peletier,,1911-06-06 00:00:00,48.874720026749706,2.3395487666130066
Ledru-Rollin,,1931-05-05 00:00:00,48.851346,2.376121
Les Agnettes,,2008-06-14 00:00:00,48.923038562581695,2.285891175270081
Les Courtilles,,2008-06-14 00:00:00,48.9306057560221,2.283788323402405
Les Gobelins,,1930-02-15 00:00:00,48.8364,2.35225
Les Halles,,1908-04-27 00:00:00,,
Les Sablons,,1937-04-29 00:00:00,,
Liberté,,1942-10-05 00:00:00,48.825882,2.407022
Liège,,1911-02-26 00:00:00,48.879626,2.3269830000000002
Louis Blanc,,1910-11-05 00:00:00,48.88113744521957,2.3648393154144287
Louise Michel,,1937-09-24 00:00:00,48.888836,2.288002
Lourmel,,1937-07-27 00:00:00,48.83860449947266,2.2818168997764587
Louvre - Rivoli,,1900-08-13 00:00:00,48.86108,2.3402830000000003
Mabillon,,1925-03-10 00:00:00,48.85277498636535,2.3353216052055363
Madeleine,,1910-11-05 00:00:00,48.8700643517776,2.3251637002593903
Mairie d'Issy,,1934-03-24 00:00:00,48.824152000000005,2.273434
Mairie d'Ivry,,1946-05-01 00:00:00,48.81112408058843,2.3833867907524113
Mairie de Clichy,,1980-05-03 00:00:00,48.90395864811288,2.305342555046081
Mairie de Montreuil,,1937-10-14 00:00:00,48.862283000000005,2.441847
Mairie de Montrouge,,2013-03-23 00:00:00,48.8180648291392,2.3195367403633598
Mairie de Saint-Ouen,,1952-06-30 00:00:00,48.911618635581036,2.333752512931824
Mairie des Lilas,,1937-02-17 00:00:00,48.87978805642553,2.416289448738098
Maison Blanche,,1930-03-07 00:00:00,48.822155,2.358531
Maisons-Alfort - Les Juilliottes,,1972-04-27 00:00:00,48.802566999999996,2.446432
Maisons-Alfort - Stade,,1970-09-19 00:00:00,48.80868115771367,2.436073422431946
Malakoff - Plateau de Vanves,,1976-11-09 00:00:00,48.822623,2.298511
Malakoff - Rue Étienne-Dolet,,1976-11-09 00:00:00,48.81470257990365,2.2973012924194336
Malesherbes,,1910-05-23 00:00:00,48.882476000000004,2.3110020000000002
Maraîchers,,1933-12-10 00:00:00,48.85285087628377,2.4069902300834656
Marcadet - Poissonniers,,1908-04-21 00:00:00,48.89036875745133,2.350028157234192
Marcel Sembat,,1934-02-03 00:00:00,48.83367001197126,2.2435793280601497
Martin Nadaud,1969-08-23 00:00:00,1905-01-25 00:00:00,48.86489826553807,2.398120164871216
Marx Dormoy,,1916-08-23 00:00:00,48.890483,2.359968
Maubert - Mutualité,,1930-02-15 00:00:00,48.85019289571939,2.347936034202576
Michel Bizot,,1931-05-05 00:00:00,48.837485234375826,2.4012342095375057
Michel-Ange - Auteuil,,1913-09-30 00:00:00,48.84777129258515,2.2638702392578125
Michel-Ange - Molitor,,1913-09-30 00:00:00,48.84496,2.2611939999999997
Mirabeau,,1913-09-30 00:00:00,48.84673872210722,2.2717076539993286
Miromesnil,,1923-05-27 00:00:00,48.87366684233027,2.3144647479057308
Monceau,,1902-10-07 00:00:00,48.880319,2.3086029999999997
Montgallet,,1931-05-05 00:00:00,48.84427635273555,2.3899742960929866
Montparnasse - Bienvenüe,,1907-10-17 00:00:00,48.843466,2.3230720000000002
Mouton-Duvernet,,1909-10-30 00:00:00,48.8314,2.3299
Ménilmontant,,1903-01-31 00:00:00,48.866248,2.3836180000000002
Nation,,1900-07-19 00:00:00,48.84846575055321,2.39590574456544
Nationale,,1909-03-01 00:00:00,48.83318271599599,2.3627176880836487
Notre-Dame-de-Lorette,,1910-11-05 00:00:00,48.876084000000006,2.3385860000000003
Notre-Dame-des-Champs,,1910-11-05 00:00:00,48.8445676070392,2.3287877440452576
Oberkampf,,1907-01-15 00:00:00,48.864545,2.368877
Odéon,,1910-01-09 00:00:00,48.852066,2.338951
Olympiades,,2007-06-26 00:00:00,48.827020000000005,2.366403
Opéra,,1904-10-19 00:00:00,48.87063594670896,2.33235239982605
Ourcq,,1942-10-12 00:00:00,48.88685562740621,2.3857471346855164
Palais-Royal - Musée du Louvre,,1900-07-19 00:00:00,48.8628468213553,2.33581661194832
Parmentier,,1904-10-19 00:00:00,48.865299,2.374381
Passy,,1907-10-17 00:00:00,48.857445,2.2857790000000002
