,accessibilité,adresse,alt,architecte,artiste,bouches,code,construction,corresp 1,corresp 2,corresp 3,corresp 4,corresp 5,exploitant,fermeture,géolocalisation,image,latitude,ligne,ligne  1,ligne 1,ligne 2,ligne 3,ligne 4,ligne 5,longitude,longueur,légende,mise en service,nom,nom inaugural,pays,position,propriétaire,quais,quartier,station précédente 1,station précédente 2,station précédente 3,station précédente 4,station précédente 5,station suivante 1,station suivante 2,station suivante 3,station suivante 4,station suivante 5,subdivision,taille image,titre corresp 1,titre corresp 2,titre corresp 3,titre corresp 4,titre corresp 5,titre quartier,titre subdivision,transit,url,ville,voies,zone
Abbesses (métro de Paris),,,,,,,3105.0,,['Funiculaire de Montmartre/correspondance'],['Bus RATP/correspondances nombreuses avec intitulé|40'],,,,RATP,,Paris/18e arrondissement de Paris,Abbesses Metro.jpg,48.8844176451841,['Métro de Paris/correspondance|12'],,['Métro de Paris/correspondance|12'],,,,,2.33871281165883,,['Société du chemin de fer électrique souterrain Nord-Sud de Paris|Nord-Sud'],['Date|30 janvier 1913|dans les chemins de fer'],Abbesses<br /><small>''Butte Montmartre''</small>,,['France'],,['Régie autonome des transports parisiens|RATP'],2.0,['e'],['Lamarck - Caulaincourt (métro de Paris)|Lamarck - Caulaincourt'],,,,,['Pigalle (métro de Paris)|Pigalle'],,,,,,,Funiculaire,Bus,,,,['Arrondissements de Paris|Arrondissement'],,['formatnum:2588279'],https://fr.wikipedia.org/w/index.php?title=Abbesses_(m%C3%A9tro_de_Paris)&action=raw,['Paris'],2.0,1.0
Alésia (métro de Paris),,,,,,,15-05,,"['Bus RATP/correspondances nombreuses avec intitulé|38|62|68|92', 'Bus RATP/correspondances|Traverse Bièvre Montsouris']",['Noctilien/correspondances avec intitulé|N14|N21|N66'],,,,RATP,,Paris/14e arrondissement de Paris,Alésia (métro Paris) vers Clignancourt par Cramos.JPG,48.828398514348,['Métro de Paris/correspondance|4'],,['Métro de Paris/correspondance|4'],,,,,2.32674567371924,,Quais de la station en 2006.,"['30 octobre dans les chemins de fer|30 octobre', '1909 dans les chemins de fer|1909']",Alésia,,['France'],,['Régie autonome des transports parisiens|RATP'],2.0,['e'],['Mouton-Duvernet (métro de Paris)|Mouton-Duvernet'],,,,,"[""Porte d'Orléans (métro de Paris)|Porte d'Orléans""]",,,,,,,Bus,Noctilien,,,,['Arrondissements de Paris|Arrondissement'],,['formatnum:5237657'],https://fr.wikipedia.org/w/index.php?title=Al%C3%A9sia_(m%C3%A9tro_de_Paris)&action=raw,['Paris'],2.0,1.0
Alexandre Dumas (métro de Paris),,,,,,,513.0,,['Bus RATP/correspondances nombreuses avec intitulé|76'],,,,,RATP,,Ligne 2 du métro de Paris/Paris/20e arrondissement de Paris/11e arrondissement de Paris,Metro de Paris - Ligne 2 - Alexandre Dumas 03.jpg,48.8561744489676,['Métro de Paris/correspondance|2'],,['Métro de Paris/correspondance|2'],,,,,2.3949898158233,,Vue d'ensemble des quais en direction de Porte Dauphine.,['Date|31|janvier|1903|dans les chemins de fer'],Alexandre Dumas,Bagnolet,['France'],,['Régie autonome des transports parisiens|RATP'],2.0,"['e', 'e']",['Philippe Auguste (métro de Paris)|Philippe Auguste'],,,,,['Avron (métro de Paris)|Avron'],,,,,,,Bus RATP,,,,,['Arrondissements de Paris|Arrondissement'],,['formatnum:3919412'],https://fr.wikipedia.org/w/index.php?title=Alexandre_Dumas_(m%C3%A9tro_de_Paris)&action=raw,['Paris'],2.0,1.0
Alma - Marceau (métro de Paris),,,,,,,18-03,,"['RER/correspondances|C', ""Gare du Pont de l'Alma|Pont de l'Alma""]",['Bus RATP/correspondances nombreuses avec intitulé|42|63|72|80|92'],,,,RATP,,Paris/8e arrondissement de Paris,AX 9 Alma Marceau 20080715.jpg,48.864904,['Métro de Paris/correspondance|9'],,['Métro de Paris/correspondance|9'],,,,,2.300234,,,['Date|27|mai|1923|dans les chemins de fer'],Alma - Marceau,,['France'],,['Régie autonome des transports parisiens|RATP'],2.0,"['e', 'e']",['Iéna (métro de Paris)|Iéna'],,,,,['Franklin D. Roosevelt (métro de Paris)|Franklin D. Roosevelt'],,,,,,,"[""Réseau express régional d'Île-de-France|RER""]",Bus RATP,,,,Arrondissement,,['formatnum:4060044'],https://fr.wikipedia.org/w/index.php?title=Alma_-_Marceau_(m%C3%A9tro_de_Paris)&action=raw,['Paris'],2.0,
Anatole France (métro de Paris),,,,,,,2914.0,,['Bus RATP/correspondances avec intitulé|174|274'],['Noctilien/correspondances avec intitulé|N16|N52'],,,,RATP,,Paris et la petite couronne,Metro de Paris - Ligne 3 - Anatole France 05.jpg,48.892022,['Métro de Paris/correspondance|3'],,['Métro de Paris/correspondance|3'],,,,,2.285536,,,['Date|24|septembre|1937|dans les chemins de fer'],Anatole France,,['France'],,['Régie autonome des transports parisiens|RATP'],2.0,,['Pont de Levallois - Bécon (métro de Paris)|Pont de Levallois - Bécon'],,,,,['Louise Michel (métro de Paris)|Louise Michel'],,,,,,,Bus RATP,Noctilien,,,,,,['formatnum:3866326'],https://fr.wikipedia.org/w/index.php?title=Anatole_France_(m%C3%A9tro_de_Paris)&action=raw,['Levallois-Perret'],2.0,2.0
Anvers (métro de Paris),,,,,,,3104.0,,['Funiculaire de Montmartre/correspondance'],['Bus RATP/correspondances avec intitulé|54|85|OpenTour'],['Noctilien/correspondances avec intitulé|N01|N02'],,,RATP,,Ligne 2 du métro de Paris/Paris/18e arrondissement de Paris/9e arrondissement de Paris,Anvers Metro Entrance.jpg,48.883007126386076,['Métro de Paris/correspondance|2'],,['Métro de Paris/correspondance|2'],,,,,2.3448488116264343,,Édicule Guimard de l'entrée de la station.,['Date|7|octobre|1902|dans les chemins de fer'],Anvers<br /><small>''Sacré-Cœur''</small>,,['France'],,['Régie autonome des transports parisiens|RATP'],2.0,"['e', 'e']",['Pigalle (métro de Paris)|Pigalle'],,,,,['Barbès - Rochechouart (métro de Paris)|Barbès - Rochechouart'],,,,,,,Funiculaire,Bus RATP,Noctilien,,,['Arrondissements de Paris|Arrondissement'],,['formatnum:6888848'],https://fr.wikipedia.org/w/index.php?title=Anvers_(m%C3%A9tro_de_Paris)&action=raw,['Paris'],2.0,1.0
Argentine (métro de Paris),,,,,,,1811.0,,['Bus RATP/correspondances nombreuses avec intitulé|73'],['Noctilien/correspondances avec intitulé|N11|N24'],,,,RATP,,Paris/17e arrondissement de Paris/16e arrondissement de Paris,Metro de Paris - Ligne 1 - Argentine (2).jpg,48.875533092935,['Métro de Paris/correspondance|1'],,['Métro de Paris/correspondance|1'],,,,,2.2893216639617,90 m,Une des plaques décoratives de la station après la rénovation de 2008.,"['1er', '1900 dans les chemins de fer|1900']",Argentine,,['France'],,['Régie autonome des transports parisiens|RATP'],2.0,"['e', 'e']",['Porte Maillot (métro de Paris)|Porte Maillot'],,,,,['Charles de Gaulle - Étoile (métro de Paris)|Charles de Gaulle - Étoile'],,,,,,,Bus,Noctilien,,,,['Arrondissements de Paris|Arrondissement'],,['formatnum:2932686'],https://fr.wikipedia.org/w/index.php?title=Argentine_(m%C3%A9tro_de_Paris)&action=raw,['Paris'],2.0,1.0
Arts et Métiers (métro de Paris),,,,,,,803.0,,['Bus RATP/correspondances avec intitulé|20|38|47|75'],['Noctilien/correspondances avec intitulé|N12|N23'],,,,RATP,,Paris/3e arrondissement de Paris,Paris-ArtetMetiers.jpg,48.8655,['Métro de Paris/correspondances|3|11'],,['Métro de Paris/correspondance|3'],['Métro de Paris/correspondance|11'],,,,2.3561,,Quai carrossé de cuivre de la ligne 11.,"['Date|19|octobre|1904|dans les chemins de fer', 'Métro de Paris/correspondance|3', 'Date|28|avril|1935|dans les chemins de fer', 'Métro de Paris/correspondance|11']",Arts et Métiers,,['France'],,['Régie autonome des transports parisiens|RATP'],4.0,['e'],['Réaumur - Sébastopol (métro de Paris)|Réaumur - Sébastopol'],['Rambuteau (métro de Paris)|Rambuteau'],,,,['Temple (métro de Paris)|Temple'],['République (métro de Paris)|République'],,,,,,Bus RATP,Noctilien,,,,['Arrondissements de Paris|Arrondissement'],,['formatnum:4036745'],https://fr.wikipedia.org/w/index.php?title=Arts_et_M%C3%A9tiers_(m%C3%A9tro_de_Paris)&action=raw,['Paris'],4.0,1.0
Assemblée nationale (métro de Paris),,,,,,,10-13,,['Bus RATP/correspondances nombreuses avec intitulé|63|73|83|84|87|94'],['Noctilien/correspondances avec intitulé|N01|N02'],,,,['Régie autonome des transports parisiens|RATP'],,Paris/7e arrondissement de Paris,Assemblée Nationale par Cramos.JPG,48.860654569523334,['Métro de Paris/correspondance|12'],,,,,,,2.3211300373077393,,Quais de la station en 2016.,"['5 novembre dans les chemins de fer|5 novembre', '1910 dans les chemins de fer|1910']",Assemblée nationale,Chambre des députés,['France'],,['Régie autonome des transports parisiens|RATP'],2.0,['e'],['Concorde (métro de Paris)|Concorde'],,,,,['Solférino (métro de Paris)|Solférino'],,,,,,,Bus,Noctilien,,,,['Arrondissements de Paris|Arrondissement'],,['formatnum:739282'],https://fr.wikipedia.org/w/index.php?title=Assembl%C3%A9e_nationale_(m%C3%A9tro_de_Paris)&action=raw,['Paris'],2.0,1.0
Aubervilliers - Pantin - Quatre Chemins (métro de Paris),,,,,,,03-05,,['Bus RATP/correspondances avec intitulé|150|152|170|249|330'],['Noctilien/correspondances avec intitulé|N42'],,,,RATP,,Paris et la petite couronne,4chemins-quais.jpg,48.90389694033926,['Métro de Paris/correspondance|7'],,['Métro de Paris/correspondance|7'],,,,,2.392495572566986,,,['Date|4|octobre|1979|dans les chemins de fer'],Aubervilliers - Pantin -<br />Quatre Chemins,,['France'],,['Régie autonome des transports parisiens|RATP'],2.0,,"[""Fort d'Aubervilliers (métro de Paris)|Fort d'Aubervilliers""]",,,,,['Porte de la Villette (métro de Paris)|Porte de la Villette'],,,,,,,Bus RATP,Noctilien,,,,,,['formatnum:7131674'],https://fr.wikipedia.org/w/index.php?title=Aubervilliers_-_Pantin_-_Quatre_Chemins_(m%C3%A9tro_de_Paris)&action=raw,"['Aubervilliers', 'Pantin']",2.0,2.0
