OBJECTID,N_SQ_PE,L_EAU,C_DEP,C_NIVEAU,B_VISI,N_SQ_DE,SHAPE_Length,SHAPE_Area
1,750000206,Canal de l'Ourcq,75,0,O,1,3406.80461044334,42224.4985482437
2,750000177,Canal Saint-Denis,75,0,N,1,44.5059802200337,30.7145739437319
3,750000003,Bassin de la Villette,75,0,O,1,2142.07661550665,52419.8164381767
4,750000100,Canal de l'Ourcq,75,0,N,1,671.489778123679,3147.26469426527
5,910000003,Etang Vieux,91,0,O,7,3132.78441970224,312303.840000553
6,910000010,Seine,91,0,N,7,363.76288989084,2996.90277570929
7,910000005,Etang de Saclay,91,0,O,7,3579.94801928048,300151.920000325
8,910000004,Etang d'Orsigny,91,0,O,7,579.831059444907,5630.09999977238
9,910000010,Seine,91,0,N,7,257.665619465223,1505.17954050085
10,940000013,Yerres,94,0,N,4,412.369296630074,2513.50857748496
11,940000011,Seine,94,0,N,4,267.487464165768,1695.05131895713
12,910000010,Seine,91,0,O,7,59328.2872668188,3413029.31281854
13,910000010,Seine,91,0,N,7,316.560850904437,2214.12019132473
14,750000669,bassin biotope,75,0,O,1,218.351804526944,1402.57933829845
15,750000670,bassin biotope,75,0,O,1,198.798277727544,1664.92515938468
16,930000008,Canal de l'Ourcq,93,0,N,3,64.476879043403,110.644898517286
17,940000002,Darse,94,0,O,4,202.005904406485,2446.83122976401
18,910000011,Yerres,91,0,O,7,53454.6999386749,370452.472143176
19,770000009,Yerres,77,0,O,5,10678.591249646,49268.6143343206
20,940000013,Yerres,94,0,O,4,6628.69202011593,31724.5618196766
21,910000002,Essonne,91,0,O,7,137488.774802488,982346.581890866
22,770000011,Essonne,77,0,O,7,7037.83828024438,29202.6144919054
23,770000012,Essonne,77,0,O,7,2446.38438742028,7925.16742763303
24,920000018,Rond-Point des 24 Jets,92,0,O,2,677.890658937636,4344.66235596589
25,920000019,Réservoir,92,0,O,2,453.032097136955,10900.1386575762
26,920000022,Vieil Etang,92,0,O,2,591.774899901651,21956.0268558625
27,930000001,,93,0,O,3,10467.5651288639,199981.224467388
28,930000005,Canal de Chelles,93,0,N,3,117.47300346461,191.806249469842
29,930000009,Etang Corot,93,0,O,3,252.490100090175,3106.21897752093
30,930000007,Canal de l'Ourcq,93,0,N,3,2007.44356042329,8606.34353307191
31,930000008,Canal de l'Ourcq,93,0,O,3,32379.7191160809,312260.78907142
32,930000010,Etang de Maison Rouge,93,0,O,3,412.183255083518,5577.38448671295
33,930000011,Grand Lac,93,0,O,3,2202.36962559311,85478.3469389996
34,930000012,Lac de Maison Blanche,93,0,O,3,622.558716062007,23195.962995162
35,930000013,Lac de Savigny,93,0,O,3,1484.72240994062,50249.0195848489
36,930000014,Lac de Sévigné,93,0,O,3,323.770801154809,7859.0444857283
37,930000015,Marne,93,0,N,3,965.45255197077,3806.21226997235
38,940000002,Darse,94,0,O,4,1022.8426674061,7017.68417380709
39,940000003,Golf d'Ormesson,94,0,O,4,132.644834867921,1063.49229406397
40,750000007,Etang de Suresnes,75,0,O,1,717.549868505815,14912.7745266611
41,750000008,Etang de l'Abbaye,75,0,O,1,224.692182430489,2551.75417014218
42,750000317,,75,0,O,1,38.4320123618574,117.380537931581
43,930000016,Marne,93,0,O,3,14776.6858075785,371000.105930997
44,940000001,,94,0,O,4,45417.1407721035,1286456.25871855
45,940000004,Marne,94,0,N,4,5888.01841924052,38137.1909210089
46,940000005,Marne,94,0,O,4,72650.6304508627,1757094.42063007
47,940000006,Parc Corot,94,0,O,4,87.2538768804948,362.019190745994
48,940000007,Passerelle de Saint-Maurice,94,0,O,4,2361.11573812627,16676.6881022604
49,940000008,Port Autonome de Paris,94,0,N,4,66.4444041045265,248.546002665069
