De,Vers,Ouverture,Fermeture,Ligne
Porte de Vincenne,Nation,1900-07-19,,Ligne 1
Nation,Gare de Lyon,1900-07-19,1900-08-20,Ligne 1
Gare de Lyon,Bastille,1900-07-19,,Ligne 1
Bastille,Hôtel de Ville,1900-07-19,1900-08-06,Ligne 1
Hôtel de Ville,Palais-Royal - Musée du Louvre,1900-07-19,1900-08-06,Ligne 1
Palais-Royal - Musée du Louvre,Tuileries,1900-07-19,1900-08-13,Ligne 1
Tuileries,Champs-Élysées - Clemenceau,1900-07-19,,Ligne 1
Champs-Élysées - Clemenceau,Marbeuf,1900-07-19,,Ligne 1
Marbeuf,Porte Maillot,1900-07-19,1900-08-13,Ligne 1
Nation,Porte de Vincenne,1900-07-19,,Ligne 1
Gare de Lyon,Nation,1900-07-19,1900-08-20,Ligne 1
Bastille,Gare de Lyon,1900-07-19,,Ligne 1
Hôtel de Ville,Bastille,1900-07-19,1900-08-06,Ligne 1
Palais-Royal - Musée du Louvre,Hôtel de Ville,1900-07-19,1900-08-06,Ligne 1
Champs-Élysées - Clemenceau,Tuileries,1900-07-19,1900-08-13,Ligne 1
Tuileries,Palais-Royal - Musée du Louvre,1900-07-19,,Ligne 1
Porte Maillot,Marbeuf,1900-07-19,1900-08-13,Ligne 1
Marbeuf,Champs-Élysées - Clemenceau,1900-07-19,,Ligne 1
Reuilly - Diderot,Gare de Lyon,1900-08-20,,Ligne 1
Reuilly - Diderot,Nation,1900-08-20,,Ligne 1
Gare de Lyon,Reuilly - Diderot,1900-08-20,,Ligne 1
Nation,Reuilly - Diderot,1900-08-20,,Ligne 1
Saint-Paul,Bastille,1900-08-06,,Ligne 1
Saint-Paul,Hôtel de Ville,1900-08-06,,Ligne 1
Bastille,Saint-Paul,1900-08-06,,Ligne 1
Hôtel de Ville,Saint-Paul,1900-08-06,,Ligne 1
Châtelet,Hôtel de Ville,1900-08-06,,Ligne 1
Châtelet,Palais-Royal - Musée du Louvre,1900-08-06,1900-08-13,Ligne 1
Hôtel de Ville,Châtelet,1900-08-06,,Ligne 1
Palais-Royal - Musée du Louvre,Châtelet,1900-08-06,1900-08-13,Ligne 1
Louvre - Rivoli,Palais-Royal - Musée du Louvre,1900-08-13,,Ligne 1
Louvre - Rivoli,Châtelet,1900-08-13,,Ligne 1
Palais-Royal - Musée du Louvre,Louvre - Rivoli,1900-08-13,,Ligne 1
Châtelet,Louvre - Rivoli,1900-08-13,,Ligne 1
Concorde,Tuileries,1900-08-13,,Ligne 1
