name,end_date,start_date,latitude,longitude,lineage,note
Massy - Palaiseau,,2026-12-01,48.725125,2.25868056,Massy - Palaiseau,Ligne 18 | Opening announced for December 2026
Polytechnique,,2026-12-01,48.7154167,2.20103889,Polytechnique,Ligne 18 | Opening announced for December 2026
Université Paris-Saclay,,2026-12-01,48.7118139,2.17385278,Université Paris-Saclay,Ligne 18 | Opening announced for December 2026
Christ de Saclay,,2026-12-01,48.7299806,2.16220833,Christ de Saclay,Ligne 18 | Opening announced for December 2026
Issy,,2027-09-01,48.821069,2.259944,Issy,Ligne 15 Sud | Opening announced for autumn 2027
Clamart,,2027-09-01,48.814125,2.2734,Clamart,Ligne 15 Sud | Opening announced for autumn 2027
Arcueil - Cachan,,2027-09-01,48.79748,2.32823,Arcueil - Cachan,Ligne 15 Sud | Opening announced for autumn 2027
Mairie de Vitry-sur-Seine,,2027-09-01,48.7899222,2.38721944,Mairie de Vitry-sur-Seine,Ligne 15 Sud | Opening announced for autumn 2027
Les Ardoines,,2027-09-01,48.7824306,2.40850556,Les Ardoines,Ligne 15 Sud | Opening announced for autumn 2027
Le Vert de Maisons,,2027-09-01,48.7894306,2.43250833,Le Vert de Maisons,Ligne 15 Sud | Opening announced for autumn 2027
Saint-Maur - Créteil,,2027-09-01,48.8068972,2.47277222,Saint-Maur - Créteil,Ligne 15 Sud | Opening announced for autumn 2027
Champigny Centre,,2027-09-01,48.8161139,2.50216111,Champigny Centre,Ligne 15 Sud | Opening announced for autumn 2027
Villiers - Champigny - Bry,,2027-09-01,48.82397,2.52621,Villiers - Champigny - Bry,Ligne 15 Sud | Opening announced for autumn 2027
Noisy - Champs,,2027-09-01,48.8429,2.58,Noisy - Champs,Ligne 15 Sud | Opening announced for autumn 2027
La Courneuve - Six Routes,,2027-12-01,48.9290972,2.38413333,La Courneuve - Six Routes,Ligne 16 and Ligne 17 | Opening announced for late 2027
Le Bourget,,2027-12-01,48.9304944,2.42209444,Le Bourget,Ligne 16 and Ligne 17 | Opening announced for late 2027
Parc du Blanc-Mesnil,,2027-12-01,48.9461389,2.46321389,Parc du Blanc-Mesnil,Ligne 16 and Ligne 17 | Opening announced for late 2027
Aulnay Val Francilia,,2027-12-01,48.9518167,2.48821944,Aulnay Val Francilia,Ligne 16 and Ligne 17 | Opening announced for late 2027
Sevran - Beaudottes,,2027-12-01,48.9470361,2.52534444,Sevran - Beaudottes,Ligne 16 and Ligne 17 | Opening announced for late 2027
Sevran - Livry,,2027-12-01,48.93583611,2.53474722,Sevran - Livry,Ligne 16 and Ligne 17 | Opening announced for late 2027
Clichy - Montfermeil,,2027-12-01,48.904425,2.55656667,Clichy - Montfermeil,Ligne 16 and Ligne 17 | Opening announced for late 2027
Le Bourget - Aéroport,,2027-12-01,48.9465722,2.43622222,Le Bourget - Aéroport,Ligne 16 and Ligne 17 | Opening announced for late 2027
Chelles - Gournay,,2028-12-01,48.8743167,2.58580833,Chelles - Gournay,Ligne 16 | Opening announced for 2028
